rank,name,age,country,track,date,minutes,seconds
266,Rose-Anne Grenier                ,LN2,CAN,Calgary (CAN)            ,3-Jan-20,2,647
268,Anastasiya Semyonova (2004)      ,LC2,RUS,Kolomna (RUS)            ,14-Dec-19,2,65
268,Koto Hanaoka                     ,L? ,JPN,Nagano (JPN)             ,27-Dec-19,2,65
270,Federica Maffei                  ,LA2,ITA,Inzell (GER)             ,27-Oct-19,2,651
271,Megan Sokolov                    ,LA1,NED,Heerenveen (NED)         ,4-Nov-19,2,653
271,Kyouka Hosoda                    ,L? ,JPN,Hachinohe-Nagane (JPN)   ,16-Feb-20,2,653
273,Miku Hayashi                     ,L? ,JPN,Nagano (JPN)             ,7-Feb-20,2,655
274,Carina Jagtøyen                  ,LN3,NOR,Inzell (GER)             ,29-Feb-20,2,657
275,Leonie Bats                      ,LA1,NED,Heerenveen (NED)         ,20-Dec-19,2,658
276,Chiho Tsuruta                    ,LN3,JPN,Nagano (JPN)             ,7-Feb-20,2,665
277,Kaja Gajewska                    ,LA2,POL,Enschede (NED)           ,24-Nov-19,2,666
278,Nikki van der Zee                ,LN2,NED,Inzell (GER)             ,23-Feb-20,2,669
279,Shiqian Shao                     ,LC1,CHN,Calgary (CAN)            ,25-Aug-19,2,67
280,Xiaohan Sun                      ,LA2,CHN,Hailar (CHN)             ,27-Oct-19,2,671
281,Petra Acker                      ,LSA,USA,Salt Lake City (USA)     ,7-Mar-20,2,673
282,Jusi Liu                         ,LB2,CHN,Hailar (CHN)             ,27-Oct-19,2,679
282,Karina Akhmetova                 ,LN2,RUS,Moscow (RUS)             ,16-Jan-20,2,679
284,Darya Pavlova (2003)             ,LB2,RUS,Kolomna (RUS)            ,14-Dec-19,2,681
285,Rebecca Simmons                  ,L30,USA,Salt Lake City (USA)     ,29-Dec-19,2,684
286,Kseniya Kononenko                ,LB2,RUS,Kolomna (RUS)            ,21-Feb-20,2,686
287,Viktoria Schinnerl               ,LN1,AUT,Inzell (GER)             ,10-Nov-19,2,687
288,Brooklyn McDougall               ,LN2,CAN,Calgary (CAN)            ,20-Oct-19,2,69
288,Patricia Koot                    ,LC2,NED,Inzell (GER)             ,22-Dec-19,2,69
290,Anke Vos                         ,LSA,BEL,Inzell (GER)             ,6-Oct-19,2,692
291,Mariya Van                       ,LN2,RUS,Kolomna (RUS)            ,23-Oct-19,2,695
292,Carolina Hiller                  ,LN4,CAN,Calgary (CAN)            ,20-Oct-19,2,698
292,Rose Laliberté-Roy               ,LN2,CAN,Calgary (CAN)            ,20-Oct-19,2,698
294,Sietske van der Meer             ,LB1,NED,Heerenveen (NED)         ,29-Feb-20,2,7
294,Kayleigh ter Laak                ,LA1,NED,Heerenveen (NED)         ,1-Mar-20,2,7
