2019-2020 500m Ladies

  199	Josephine Heimerl                    	LA2	GER	   40,43	Erfurt (GER)             	31 Jan 2020
  200	Lan Huang                            	LA2	CHN	   40,44	Salt Lake City (USA)     	31 Aug 2019
  201	Martine Ripsrud                      	LSA	NOR	   40,45	Inzell (GER)             	4 Oct 2019
  201	Elizaveta Agafoshina                 	LA2	RUS	   40,45	Tomaszów-Mazowiecki (POL)	21 Feb 2020
  203	Jingziqian Wang                      	LA1	CHN	   40,46	Changchun (CHN)          	8 Nov 2019
  203	Roos Markus                          	LA2	NED	   40,46	Heerenveen (NED)         	25 Jan 2020
  205	Roxane Dufter                        	LSA	GER	   40,49	Inzell (GER)             	22 Feb 2020
  206	Binyu Yang                           	LB2	CHN	   40,50	Calgary (CAN)            	14 Sep 2019
  206	Anna Vashkene                        	LA2	RUS	   40,50	Kolomna (RUS)            	26 Sep 2019
  206	Chenyu Li                            	LN3	CHN	   40,50	Hailar (CHN)             	25 Oct 2019
  206	Honoka Kawashima                     	L? 	JPN	   40,50	Nagano (JPN)             	29 Dec 2019
  206	Anna Boersma                         	LA2	NED	   40,50	Enschede (NED)           	1 Feb 2020
  211	Ekaterina Sloeva                     	LN2	BLR	   40,51	Minsk (BLR)              	16 Feb 2020
  212	Jie Yang                             	LN2	CHN	   40,52	Hailar (CHN)             	25 Oct 2019
  212	Muriël Meijer (1999)                 	LN2	NED	   40,52	Heerenveen (NED)         	25 Jan 2020
  214	Mariyia Krotava                      	LSA	BLR	   40,54	Inzell (GER)             	26 Oct 2019
  214	Wakana Noto                          	L? 	JPN	   40,54	Obihiro (JPN)            	3 Nov 2019
  214	Olga Kaczmarek                       	LN1	POL	   40,54	Inzell (GER)             	21 Feb 2020
  217	Li Cheng                             	LA2	CHN	   40,55	Changchun (CHN)          	9 Jan 2020
  218	Ane By Farstad                       	LN1	NOR	   40,56	Inzell (GER)             	4 Jan 2020
  218	Airi Gunji                           	L? 	JPN	   40,56	Obihiro (JPN)            	23 Jan 2020
  218	Marina Zueva                         	LSA	BLR	   40,56	Hamar (NOR)              	29 Feb 2020
  221	Jiachen Hao                          	L30	CHN	   40,57	Calgary (CAN)            	23 Aug 2019
  221	Kyouka Shimizu                       	L? 	JPN	   40,57	Obihiro (JPN)            	3 Nov 2019
  221	Ju-Lin de Visser                     	LA2	NED	   40,57	Inzell (GER)             	16 Nov 2019
  221	Anastasiya Prakapovich               	LB1	BLR	   40,57	Minsk (BLR)              	6 Dec 2019
  225	Hanyue Guan                          	LSA	CHN	   40,58	Changchun (CHN)          	8 Nov 2019
  225	Jenny Peißker                        	LSA	GER	   40,58	Inzell (GER)             	7 Dec 2019
  225	Aleksandra Rutkovskaya               	LA1	RUS	   40,58	Kolomna (RUS)            	7 Mar 2020
  228	Irina Slesareva                      	LA1	RUS	   40,59	Moscow (RUS)             	4 Mar 2020
  229	Xiangyu Chen                         	LN1	CHN	   40,60	Calgary (CAN)            	24 Aug 2019
  229	Zuzana Nedeljakova                   	LA1	CAN	   40,60	Calgary (CAN)            	18 Oct 2019
  229	Xinyue Liu                           	LA2	CHN	   40,60	Changchun (CHN)          	8 Nov 2019
  229	Minami Ooiwa                         	L? 	JPN	   40,60	Nagano (JPN)             	28 Dec 2019
  233	Jamie Schelling                      	LN3	NED	   40,61	Inzell (GER)             	4 Jan 2020
  234	Wenjia Wang                          	LN2	CHN	   40,62	Calgary (CAN)            	20 Sep 2019
  235	Sandrine Tas                         	LSA	BEL	   40,64	Inzell (GER)             	13 Oct 2019
  235	Yuting Zhou                          	LN1	CHN	   40,64	Hailar (CHN)             	25 Oct 2019
  237	Misaki Sugiura                       	LN2	JPN	   40,65	Nagano (JPN)             	9 Feb 2020
  238	Roza Blokker                         	LSA	NED	   40,67	Heerenveen (NED)         	18 Jan 2020
  238	Isabelle Weidemann                   	LSA	CAN	   40,67	Hamar (NOR)              	29 Feb 2020
  240	Sara Cabrera                         	LA2	ESP	   40,68	Heerenveen (NED)         	3 Feb 2020
  240	Miki Fujiwara (20120046)             	L? 	JPN	   40,68	Nagano (JPN)             	9 Feb 2020
  242	Sanne in 't Hof                      	LN3	NED	   40,69	Heerenveen (NED)         	22 Feb 2020
  242	Angel Daleman                        	LYA	NED	   40,69	Heerenveen (NED)         	28 Feb 2020
  244	Sofie Karoline Haugen                	LSA	NOR	   40,71	Hamar (NOR)              	29 Feb 2020
  245	Evelien Vijn                         	LB2	NED	   40,72	Inzell (GER)             	21 Dec 2019
  245	Greta Myers                          	LB1	USA	   40,72	Salt Lake City (USA)     	6 Mar 2020
  247	Tatsiana Mikhailava (1987)           	L30	BLR	   40,73	Minsk (BLR)              	1 Nov 2019
  247	Lindsey Kent                         	LSA	CAN	   40,73	Calgary (CAN)            	10 Nov 2019
  247	Josie Hofmann                        	LN4	GER	   40,73	Inzell (GER)             	29 Feb 2020
  250	Ragne Wiklund                        	LN1	NOR	   40,74	Inzell (GER)             	19 Oct 2019
  250	Veronika Plenkina                    	LB1	RUS	   40,74	Kolomna (RUS)            	21 Feb 2020
  250	Natalia Jabrzyk                      	LA2	POL	   40,74	Tomaszów-Mazowiecki (POL)	21 Feb 2020
  253	Marit Steunenberg                    	LN3	NED	   40,75	Heerenveen (NED)         	21 Dec 2019
  254	Xia Jiang                            	LA1	CHN	   40,77	Salt Lake City (USA)     	31 Aug 2019
  255	Elena Samkova                        	LN3	RUS	   40,78	Kolomna (RUS)            	23 Oct 2019
  255	Meng Xu                              	LN1	CHN	   40,78	Hailar (CHN)             	25 Oct 2019
  255	Bing Lyu                             	LN1	CHN	   40,78	Changchun (CHN)          	8 Nov 2019
  258	Leonie Bats                          	LA1	NED	   40,80	Heerenveen (NED)         	1 Mar 2020
  259	Gioya Lancee                         	LN2	NED	   40,81	Heerenveen (NED)         	21 Dec 2019
  259	Martyna Baran                        	LA2	POL	   40,81	Tomaszów-Mazowiecki (POL)	29 Dec 2019
  259	Alina Dauranova                      	LB1	KAZ	   40,81	Nur-Sultan (KAZ)         	13 Mar 2020
  262	Viktoria Schinnerl                   	LN1	AUT	   40,83	Inzell (GER)             	13 Oct 2019
  262	Anne Gulbrandsen                     	LSA	NOR	   40,83	Hamar (NOR)              	7 Dec 2019
  264	Minami Miyajima                      	LN4	JPN	   40,84	Nagano (JPN)             	28 Dec 2019
  264	Victoria Stirnemann                  	LA1	GER	   40,84	Tomaszów-Mazowiecki (POL)	21 Feb 2020
  266	Ayaka Shimizu                        	L? 	JPN	   40,85	Obihiro (JPN)            	22 Feb 2020
  267	Ning Sun                             	LC2	CHN	   40,86	Changchun (CHN)          	12 Jan 2020
  267	Jildou Hoekstra                      	LB1	NED	   40,86	Heerenveen (NED)         	29 Feb 2020
  269	Kim Talsma                           	LA2	NED	   40,87	Enschede (NED)           	1 Feb 2020
  270	Maki Kamijo                          	L? 	JPN	   40,88	Nagano (JPN)             	9 Feb 2020
  271	Ji-Woo Park                          	LN2	KOR	   40,89	Seoul (KOR)              	26 Dec 2019
  272	Darya Filippova (1996)               	LSA	RUS	   40,90	Kolomna (RUS)            	23 Oct 2019
  273	Nienke Kleinsman                     	LSA	NED	   40,91	Inzell (GER)             	12 Oct 2019
  273	Misaki Shinno                        	LB1	JPN	   40,91	Obihiro (JPN)            	23 Jan 2020
  273	Raluca Doina Ştef                    	LSA	ROU	   40,91	Inzell (GER)             	21 Feb 2020
  276	Xiaohan Sun                          	LA2	CHN	   40,92	Hailar (CHN)             	25 Oct 2019
  277	Mia Kilburg-Manganello               	L30	USA	   40,93	Salt Lake City (USA)     	18 Jan 2020
  277	Wiktoria Dąbrowska                   	LYA	POL	   40,93	Heerenveen (NED)         	28 Feb 2020
  279	Sana Fujii                           	LA2	JPN	   40,94	Obihiro (JPN)            	3 Nov 2019
  279	Hayleigh Bell                        	LN4	CAN	   40,94	Calgary (CAN)            	10 Nov 2019
  279	Kasumi Maenaka                       	L? 	JPN	   40,94	Nagano (JPN)             	29 Dec 2019
  282	Yue Song (2000)                      	LN1	CHN	   40,96	Changchun (CHN)          	20 Sep 2019
  282	Aoyu Chen                            	LC2	CHN	   40,96	Harbin (CHN)             	2 Jan 2020
  284	Emma Kant                            	LA2	NED	   40,99	Heerenveen (NED)         	6 Oct 2019
  285	Yuno Morozumi                        	LA1	JPN	   41,00	Nagano (JPN)             	9 Feb 2020
  285	Hikari Kaga                          	L? 	JPN	   41,00	Nagano (JPN)             	9 Feb 2020
  287	Ophélie Juneau                       	LN1	CAN	   41,01	Calgary (CAN)            	18 Oct 2019
  288	Moe Mishima                          	L? 	JPN	   41,02	Ikaho (JPN)              	1 Dec 2019
  288	Miku Hayashi                         	L? 	JPN	   41,02	Nagano (JPN)             	29 Dec 2019
  288	Tessa Oudman                         	LN1	NED	   41,02	Heerenveen (NED)         	20 Jan 2020
